,ProductID,ProductWeight,Fat_Content,PackingVisibility,ProductCategory,MRP,Outlet-ID,Outlet_started_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
39,214,0,1,1529,13,1339,5,0,2.0,2,3,1690
40,968,331,1,6057,4,5246,8,2,3.0,0,1,2408
41,567,292,1,1566,10,2647,1,1,1.0,2,1,1674
42,180,333,1,6500,13,4586,9,4,2.0,0,1,1901
43,236,415,1,4587,3,5799,3,8,2.0,2,2,3351
44,611,319,2,2925,3,2663,1,1,1.0,2,1,359
45,641,91,0,5574,4,4093,0,3,1.61,2,0,345
46,1438,397,1,0,8,3305,7,5,1.61,1,1,1843
47,1057,294,1,1446,3,5925,7,5,1.61,1,1,3206
48,586,360,2,6611,0,825,8,2,3.0,0,1,1932
49,869,0,2,7830,4,4722,4,0,3.0,0,0,709
50,1378,164,1,4541,8,2983,8,2,3.0,0,1,2247
51,642,296,1,7376,5,2895,1,1,1.0,2,1,762
52,830,293,2,1725,3,2331,1,1,1.0,2,1,733
53,177,305,1,4367,6,4700,2,7,1.61,1,1,2240
54,1442,319,1,1731,9,3245,2,7,1.61,1,1,2944
55,553,204,1,219,13,5580,3,8,2.0,2,2,3288
56,1538,281,1,3375,9,1951,7,5,1.61,1,1,1655
57,107,233,1,4733,7,149,9,4,2.0,0,1,724
58,1183,350,1,7573,13,4639,8,2,3.0,0,1,2976
59,485,0,1,4148,3,4160,4,0,3.0,0,0,793
60,629,294,1,0,6,5539,3,8,2.0,2,2,2275
61,1039,209,2,2735,10,1331,7,5,1.61,1,1,921
62,361,0,1,331,6,153,5,0,2.0,2,3,456
63,1199,0,2,7244,5,552,4,0,3.0,0,0,124
64,1202,0,1,1478,13,5712,5,0,2.0,2,3,1912
65,266,378,0,7733,13,4347,0,3,1.61,2,0,173
66,441,395,1,2121,10,3895,6,6,3.0,1,1,2964
67,1218,334,2,5142,4,4366,7,5,1.61,1,1,960
68,72,377,1,2851,14,3677,7,5,1.61,1,1,1764
69,1343,247,1,7142,8,1604,8,2,3.0,0,1,1592
70,541,357,2,6162,13,3817,8,2,3.0,0,1,2408
71,586,360,2,6607,0,786,1,1,1.0,2,1,559
72,453,384,1,0,15,3675,7,5,1.61,1,1,2879
73,394,200,1,296,3,4481,2,7,1.61,1,1,1755
74,1552,197,3,7704,9,5678,9,4,2.0,0,1,3155
75,254,235,2,1291,5,2231,8,2,3.0,0,1,1757
76,781,326,1,2134,13,3885,9,4,2.0,0,1,1028
77,682,0,1,6388,0,1413,4,0,3.0,0,0,598
78,582,391,1,6352,5,1913,2,7,1.61,1,1,1298
79,1037,57,1,0,3,5084,7,5,1.61,1,1,3081
80,316,194,1,4065,13,1812,8,2,3.0,0,1,1372
81,656,315,4,473,5,4167,8,2,3.0,0,1,1189
82,1053,369,3,3142,13,4425,3,8,2.0,2,2,2906
83,1379,0,1,7860,9,4643,4,0,3.0,0,0,545
84,829,0,2,1987,0,3855,5,0,2.0,2,3,2224
85,404,356,2,6745,6,4046,2,7,1.61,1,1,1875
86,1258,66,1,1402,6,3557,6,6,3.0,1,1,2012
87,811,0,2,2658,2,3404,5,0,2.0,2,3,2332
88,674,82,2,6669,13,1597,8,2,3.0,0,1,615
89,670,410,1,2707,10,2341,9,4,2.0,0,1,1250
90,1082,409,1,2759,6,2515,0,3,1.61,2,0,355
91,57,263,1,6158,4,204,9,4,2.0,0,1,636
92,82,397,1,2190,14,662,7,5,1.61,1,1,1160
93,178,398,1,3658,6,752,6,6,3.0,1,1,579
94,1468,292,1,1311,8,2249,6,6,3.0,1,1,1077
95,970,0,1,176,5,2428,4,0,3.0,0,0,459
96,382,319,1,6883,5,5518,9,4,2.0,0,1,1045
97,231,253,2,4875,6,4406,6,6,3.0,1,1,2549
98,1442,0,1,1703,9,3199,5,0,2.0,2,3,2784
99,231,253,2,4877,6,4422,8,2,3.0,0,1,1110
100,940,330,1,4288,5,3235,7,5,1.61,1,1,1438
101,284,0,2,3186,13,4114,5,0,2.0,2,3,2090
102,1113,228,2,6446,13,4128,9,4,2.0,0,1,2605
103,7,369,2,1356,14,169,1,1,1.0,2,1,620
104,737,399,1,2194,13,4911,3,8,2.0,2,2,2276
105,438,372,2,3259,3,2883,1,1,1.0,2,1,1730
106,181,299,2,6464,0,3622,1,1,1.0,2,1,1432
107,400,107,2,0,0,2480,7,5,1.61,1,1,1905
108,36,0,3,7845,14,5138,4,0,3.0,0,0,628
109,111,339,1,2371,14,254,1,1,1.0,2,1,734
110,279,330,1,5184,4,5288,8,2,3.0,0,1,644
111,910,262,3,18,5,1831,2,7,1.61,1,1,2020
112,1099,0,2,4348,10,4044,4,0,3.0,0,0,162
113,1144,0,1,4721,13,2493,5,0,2.0,2,3,2685
114,1025,277,2,0,1,3915,7,5,1.61,1,1,2258
115,288,172,1,2087,5,5402,9,4,2.0,0,1,3233
116,1228,370,2,7399,5,4572,2,7,1.61,1,1,2954
117,1251,171,1,4588,13,2056,6,6,3.0,1,1,1911
118,0,313,1,2793,14,2858,2,7,1.61,1,1,1918
119,1213,314,1,2736,13,5172,3,8,2.0,2,2,978
120,1317,327,1,2317,9,451,2,7,1.61,1,1,629
121,91,324,0,4250,14,3500,7,5,1.61,1,1,1631
122,200,404,2,7552,3,1484,0,3,1.61,2,0,176
123,528,244,2,2743,3,4497,6,6,3.0,1,1,2196
124,1075,323,1,3430,1,878,2,7,1.61,1,1,774
125,605,378,1,311,5,1580,6,6,3.0,1,1,775
126,86,339,1,7672,14,1181,8,2,3.0,0,1,974
127,1048,394,1,6049,4,599,2,7,1.61,1,1,816
128,55,261,1,5462,7,3252,1,1,1.0,2,1,694
129,1444,406,1,2103,9,218,7,5,1.61,1,1,649
130,1186,0,1,2167,3,4177,5,0,2.0,2,3,3443
131,1340,332,1,4768,9,3537,8,2,3.0,0,1,1195
132,1476,0,1,7163,8,5121,5,0,2.0,2,3,3374
133,910,262,1,162,5,1805,0,3,1.61,2,0,69
134,394,200,1,294,3,4444,3,8,2.0,2,2,833
135,1428,152,1,5021,9,2300,8,2,3.0,0,1,1547
136,453,0,1,4093,15,3699,5,0,2.0,2,3,3066
137,228,131,1,2606,4,823,7,5,1.61,1,1,1110
138,1152,285,1,2994,6,1437,2,7,1.61,1,1,507
139,1407,386,1,3915,11,2809,0,3,1.61,2,0,261
140,1289,213,1,930,9,3357,6,6,3.0,1,1,1173
141,1538,281,1,3383,9,1920,2,7,1.61,1,1,1368
142,1436,325,1,5651,11,1930,7,5,1.61,1,1,1670
143,1288,367,1,1654,9,4074,9,4,2.0,0,1,1986
144,479,337,2,0,5,604,6,6,3.0,1,1,802
145,743,387,1,2682,5,5528,9,4,2.0,0,1,3410
146,198,361,1,4135,15,5167,6,6,3.0,1,1,3292
147,1274,377,1,5312,8,3549,6,6,3.0,1,1,1303
148,179,414,1,7315,13,4100,6,6,3.0,1,1,502
149,1428,152,1,5018,9,2350,6,6,3.0,1,1,1547
150,94,343,1,7262,14,531,2,7,1.61,1,1,896
151,843,336,4,1475,5,3571,3,8,2.0,2,2,1432
152,470,334,2,4796,5,4751,3,8,2.0,2,2,2039
153,104,0,1,2850,14,0,5,0,2.0,2,3,798
154,1132,163,1,2947,6,5156,8,2,3.0,0,1,2266
155,1344,385,1,472,9,5100,3,8,2.0,2,2,2481
156,216,32,2,0,0,2816,3,8,2.0,2,2,259
157,661,387,1,7286,2,1736,2,7,1.61,1,1,1505
158,20,336,1,1939,14,2876,2,7,1.61,1,1,1373
159,797,337,2,4110,5,3356,1,1,1.0,2,1,1870
160,631,337,2,2888,13,649,1,1,1.0,2,1,1123
161,824,0,1,5064,6,1641,5,0,2.0,2,3,1441
162,1037,57,1,3189,3,5084,3,8,2.0,2,2,2346
163,47,154,1,4686,14,2240,8,2,3.0,0,1,1953
164,1109,73,2,5791,10,4957,8,2,3.0,0,1,2040
165,113,396,2,5077,14,5310,2,7,1.61,1,1,3104
166,750,352,1,1066,3,4994,2,7,1.61,1,1,2080
167,611,319,2,2941,3,2610,3,8,2.0,2,2,1398
168,1278,0,1,1416,9,4784,5,0,2.0,2,3,3150
169,1075,323,1,3425,1,856,3,8,2.0,2,2,575
170,1401,342,1,908,11,3676,6,6,3.0,1,1,1657
171,568,367,1,6662,6,3909,2,7,1.61,1,1,2576
172,627,315,2,3947,10,3244,1,1,1.0,2,1,1146
173,892,328,2,3061,6,4123,1,1,1.0,2,1,2637
174,488,378,1,7858,6,2273,0,3,1.61,2,0,334
175,857,380,0,0,1,4709,0,3,1.61,2,0,546
176,215,320,2,4352,15,1492,7,5,1.61,1,1,875
177,1499,315,1,5920,8,1157,0,3,1.61,2,0,141
178,142,0,2,7724,14,277,4,0,3.0,0,0,12
179,707,307,1,7627,0,3448,7,5,1.61,1,1,2182
180,797,0,2,4101,5,3295,5,0,2.0,2,3,3250
181,1049,309,1,82,10,4766,7,5,1.61,1,1,861
182,1426,0,1,6812,8,2363,4,0,3.0,0,0,233
183,1008,46,2,4896,4,2195,1,1,1.0,2,1,1155
184,926,0,2,3457,0,5166,5,0,2.0,2,3,2919
185,578,310,2,3138,13,1743,3,8,2.0,2,2,877
186,694,0,2,5767,6,3708,4,0,3.0,0,0,611
187,1523,337,1,1738,8,2777,9,4,2.0,0,1,708
188,319,399,2,805,5,4150,7,5,1.61,1,1,1786
189,1277,99,1,5621,9,1262,9,4,2.0,0,1,1720
190,1029,297,1,7192,10,1883,9,4,2.0,0,1,1346
191,616,48,2,4857,13,5916,9,4,2.0,0,1,2921
192,150,316,2,3509,6,3658,7,5,1.61,1,1,2242
193,951,365,1,984,6,525,3,8,2.0,2,2,442
194,1530,0,1,620,9,4249,5,0,2.0,2,3,3025
195,932,299,1,2820,6,135,8,2,3.0,0,1,510
196,221,391,2,5886,5,467,8,2,3.0,0,1,864
197,1420,343,1,4074,11,5398,9,4,2.0,0,1,3247
198,343,0,2,5930,4,886,5,0,2.0,2,3,1647
199,1157,0,4,6028,3,5289,5,0,2.0,2,3,3100
200,1402,389,1,3589,8,1905,7,5,1.61,1,1,678
201,340,21,2,2862,0,3584,6,6,3.0,1,1,2323
202,688,384,1,3738,13,2855,7,5,1.61,1,1,1373
203,484,0,1,5112,0,4087,5,0,2.0,2,3,3343
204,480,350,1,3607,10,5468,8,2,3.0,0,1,2694
205,371,356,2,2938,0,1159,0,3,1.61,2,0,318
206,424,334,1,4405,5,388,9,4,2.0,0,1,710
207,44,362,0,1250,14,4473,7,5,1.61,1,1,2499
208,903,0,2,3551,13,1993,4,0,3.0,0,0,309
209,1150,326,1,7476,5,201,0,3,1.61,2,0,227
210,104,289,0,2879,14,14,6,6,3.0,1,1,109
211,13,335,1,3984,4,5500,6,6,3.0,1,1,3168
212,616,48,2,0,13,5894,2,7,1.61,1,1,1963
213,1298,398,1,1582,9,1613,7,5,1.61,1,1,1076
214,1558,344,1,0,9,3573,0,3,1.61,2,0,315
215,323,110,2,7247,13,2769,0,3,1.61,2,0,107
216,854,68,2,0,6,2792,0,3,1.61,2,0,257
217,753,334,2,6946,5,5801,0,3,1.61,2,0,257
218,1129,373,1,7323,10,3548,1,1,1.0,2,1,2520
219,175,83,0,0,10,218,6,6,3.0,1,1,976
220,1185,8,2,6933,0,601,9,4,2.0,0,1,1566
221,277,29,2,6428,0,1359,2,7,1.61,1,1,1184
222,448,360,2,6276,5,121,8,2,3.0,0,1,264
223,937,172,1,3540,3,2492,2,7,1.61,1,1,2459
224,91,324,1,4241,14,3574,1,1,1.0,2,1,1830
225,1424,0,1,743,11,4908,4,0,3.0,0,0,206
226,1082,409,1,1282,6,2584,1,1,1.0,2,1,2153
227,43,0,1,3487,4,3265,4,0,3.0,0,0,131
228,907,273,1,0,3,1122,6,6,3.0,1,1,1337
229,1137,0,1,6031,3,4219,5,0,2.0,2,3,2229
230,1536,0,1,34,9,3705,5,0,2.0,2,3,2930
231,413,0,2,7041,12,3827,5,0,2.0,2,3,2408
232,614,338,1,6734,6,1303,7,5,1.61,1,1,971
233,365,176,1,1616,3,3273,6,6,3.0,1,1,1946
234,1294,327,1,5958,9,375,8,2,3.0,0,1,565
235,126,0,1,3014,7,4585,5,0,2.0,2,3,1760
236,904,0,2,5337,13,2383,4,0,3.0,0,0,91
237,215,320,2,4342,15,1502,1,1,1.0,2,1,1518
238,1133,0,0,5398,13,2088,5,0,2.0,2,3,1623
239,1499,0,1,4015,8,1128,5,0,2.0,2,3,235
240,1472,374,1,6389,9,5614,7,5,1.61,1,1,3355
241,1469,360,1,977,9,293,2,7,1.61,1,1,593
242,1505,390,1,3578,8,4565,6,6,3.0,1,1,2307
243,1211,365,2,4237,6,5183,2,7,1.61,1,1,3400
244,100,338,1,5515,4,5217,6,6,3.0,1,1,2297
245,553,204,1,209,13,5580,6,6,3.0,1,1,2549
246,1186,317,1,2185,3,4137,1,1,1.0,2,1,2411
247,1002,319,2,4009,6,3632,6,6,3.0,1,1,849
248,606,295,1,1610,10,1009,9,4,2.0,0,1,508
249,359,376,1,1597,5,5858,2,7,1.61,1,1,3065
250,40,0,1,3990,4,3263,4,0,3.0,0,0,298
251,591,372,1,6832,6,2178,3,8,2.0,2,2,1422
252,1042,195,1,5541,6,845,9,4,2.0,0,1,690
253,526,315,2,5741,13,2646,1,1,1.0,2,1,1484
254,397,329,2,7477,6,3872,7,5,1.61,1,1,2560
255,777,0,1,7214,5,259,4,0,3.0,0,0,10
256,1077,240,1,5922,3,553,2,7,1.61,1,1,256
257,1343,247,1,7137,8,1618,1,1,1.0,2,1,186
258,1169,377,2,4989,10,2125,7,5,1.61,1,1,1364
259,877,277,1,7607,0,2699,2,7,1.61,1,1,2896
260,538,325,2,1242,10,5150,1,1,1.0,2,1,2989
261,102,183,1,4147,14,1592,6,6,3.0,1,1,1185
262,409,284,2,3468,5,5529,2,7,1.61,1,1,1040
263,1197,333,2,6540,4,5255,7,5,1.61,1,1,3100
264,653,263,1,4763,2,4023,7,5,1.61,1,1,1412
265,1477,365,1,5628,9,4660,1,1,1.0,2,1,1919
266,410,377,1,3872,5,311,1,1,1.0,2,1,873
267,407,210,1,527,0,1269,1,1,1.0,2,1,932
268,429,360,1,3009,15,101,2,7,1.61,1,1,300
269,635,358,1,3139,5,4118,1,1,1.0,2,1,1895
270,1070,272,2,3972,5,2729,8,2,3.0,0,1,1190
271,889,405,1,5572,4,5802,1,1,1.0,2,1,1636
272,815,103,1,6172,6,1283,1,1,1.0,2,1,1518
273,573,400,1,9,4,5902,6,6,3.0,1,1,3208
274,593,370,1,2432,13,1455,8,2,3.0,0,1,1628
275,441,0,1,2109,10,3913,5,0,2.0,2,3,3405
276,1210,369,1,5250,6,5732,1,1,1.0,2,1,3415
277,1169,377,2,5005,10,2111,2,7,1.61,1,1,428
278,553,204,1,714,13,5599,0,3,1.61,2,0,472
279,1223,0,1,3065,13,2652,5,0,2.0,2,3,2511
280,1239,195,2,2582,6,1859,3,8,2.0,2,2,673
281,1552,197,1,7699,9,5648,6,6,3.0,1,1,3266
282,1315,0,1,2016,9,1782,5,0,2.0,2,3,1658
283,35,409,1,1075,14,3294,2,7,1.61,1,1,1750
284,511,0,1,7731,6,4504,4,0,3.0,0,0,538
285,949,79,2,186,10,3237,6,6,3.0,1,1,1744
286,321,383,1,5329,6,3109,0,3,1.61,2,0,291
287,1294,327,1,5975,9,407,3,8,2.0,2,2,525
288,232,404,2,838,6,5080,6,6,3.0,1,1,3152
289,1498,251,1,6553,9,1593,9,4,2.0,0,1,1048
290,47,154,1,4695,14,2216,7,5,1.61,1,1,535
291,633,0,2,4109,2,3950,5,0,2.0,2,3,2592
292,368,326,3,2140,6,4777,7,5,1.61,1,1,1158
293,447,143,1,4023,4,2940,3,8,2.0,2,2,1480
294,1066,0,2,6470,0,4692,5,0,2.0,2,3,3135
295,1214,221,1,1995,0,1552,9,4,2.0,0,1,813
296,563,144,1,76,0,465,6,6,3.0,1,1,545
297,1398,67,1,5247,11,2890,8,2,3.0,0,1,1185
298,337,395,2,3494,6,1134,2,7,1.61,1,1,826
299,996,72,1,3223,0,1719,8,2,3.0,0,1,1801
300,1027,0,2,1642,3,1349,5,0,2.0,2,3,2310
301,1032,0,2,6133,6,2619,4,0,3.0,0,0,249
302,1465,378,1,372,9,3739,6,6,3.0,1,1,3224
303,706,380,1,7204,1,1532,3,8,2.0,2,2,972
304,36,287,1,7370,14,5130,7,5,1.61,1,1,3430
305,140,359,1,7088,7,5601,2,7,1.61,1,1,2044
306,205,170,1,7221,6,5444,7,5,1.61,1,1,3085
307,823,143,1,0,5,1668,3,8,2.0,2,2,781
308,1135,94,1,1802,0,1490,8,2,3.0,0,1,902
309,1131,392,1,5859,6,5341,6,6,3.0,1,1,2197
310,303,404,2,553,4,4609,6,6,3.0,1,1,2588
311,145,349,2,3745,3,785,8,2,3.0,0,1,499
312,894,110,2,6678,13,1385,8,2,3.0,0,1,1819
313,646,0,2,1829,3,815,5,0,2.0,2,3,1357
314,211,368,2,3609,5,2191,1,1,1.0,2,1,726
315,385,142,1,5752,13,2286,7,5,1.61,1,1,1072
316,169,97,1,2189,13,3131,7,5,1.61,1,1,789
317,240,391,2,7569,6,5197,0,3,1.61,2,0,430
318,230,331,1,7044,5,3115,7,5,1.61,1,1,2598
319,1190,0,1,3003,6,3084,5,0,2.0,2,3,2803
320,141,0,1,2907,7,2526,5,0,2.0,2,3,3122
321,1146,291,2,6813,0,5108,9,4,2.0,0,1,2989
322,18,349,1,3455,14,876,2,7,1.61,1,1,835
323,271,308,2,115,4,3199,2,7,1.61,1,1,1535
324,223,410,1,1073,6,1861,9,4,2.0,0,1,1827
325,1368,292,1,7263,11,4635,0,3,1.61,2,0,373
326,1059,365,1,2066,10,3687,1,1,1.0,2,1,865
327,1242,290,2,1158,1,1790,7,5,1.61,1,1,1406
328,1521,0,1,881,8,2766,5,0,2.0,2,3,2360
329,1065,331,1,3371,1,4990,7,5,1.61,1,1,2614
330,73,408,1,5694,4,1035,1,1,1.0,2,1,298
331,690,0,1,5794,0,3482,5,0,2.0,2,3,2754
332,1011,363,1,2379,6,5817,7,5,1.61,1,1,2808
333,689,0,2,3898,13,5254,5,0,2.0,2,3,3475
334,263,0,1,7749,5,1047,4,0,3.0,0,0,225
335,691,0,2,982,2,2748,5,0,2.0,2,3,1610
336,1433,35,1,3287,11,1791,8,2,3.0,0,1,2358
337,778,350,2,5492,6,5071,7,5,1.61,1,1,3310
338,373,358,2,2570,5,2542,2,7,1.61,1,1,1563
339,617,203,4,5804,2,1896,2,7,1.61,1,1,2104
340,1206,0,2,321,3,3667,5,0,2.0,2,3,2064
341,839,375,2,4239,0,1354,1,1,1.0,2,1,509
342,1542,156,1,1958,9,3957,1,1,1.0,2,1,2789
343,1544,404,1,1476,9,4188,7,5,1.61,1,1,2012
344,520,0,1,5689,13,4524,4,0,3.0,0,0,368
345,83,360,1,6230,14,799,9,4,2.0,0,1,647
346,597,74,1,244,10,951,9,4,2.0,0,1,1522
347,1430,396,1,632,9,4234,9,4,2.0,0,1,2343
348,1275,393,1,5079,9,4750,9,4,2.0,0,1,2252
349,1137,368,1,0,3,4192,3,8,2.0,2,2,1920
350,773,410,2,3904,1,1886,3,8,2.0,2,2,1480
351,866,342,2,4304,1,5813,7,5,1.61,1,1,3133
352,939,311,2,4607,10,5303,1,1,1.0,2,1,3267
353,77,209,1,2234,14,3949,8,2,3.0,0,1,1938
354,973,190,2,4471,13,667,9,4,2.0,0,1,1062
355,446,394,2,2260,3,2907,8,2,3.0,0,1,2682
356,447,143,1,4005,4,2923,8,2,3.0,0,1,2263
357,677,0,2,4377,10,3718,5,0,2.0,2,3,3014
358,455,313,2,5140,5,1127,8,2,3.0,0,1,974
359,539,0,1,7665,6,1698,5,0,2.0,2,3,1999
360,134,318,1,724,7,4115,3,8,2.0,2,2,798
361,1426,294,1,4807,8,2370,8,2,3.0,0,1,2034
362,1166,341,1,5225,0,1169,7,5,1.61,1,1,784
363,934,298,1,6341,13,759,9,4,2.0,0,1,612
364,1138,0,1,7296,4,4251,4,0,3.0,0,0,170
365,420,216,1,6787,6,4893,1,1,1.0,2,1,2489
366,305,214,2,5113,6,5730,6,6,3.0,1,1,3042
367,880,281,2,5116,10,2046,2,7,1.61,1,1,1940
368,612,408,2,3334,4,4918,3,8,2.0,2,2,1086
369,599,358,2,6671,6,2097,2,7,1.61,1,1,1044
370,1220,0,2,0,6,814,5,0,2.0,2,3,1395
371,1527,0,1,3669,8,4615,4,0,3.0,0,0,369
372,1273,366,1,2450,9,4159,7,5,1.61,1,1,2637
373,1123,273,1,4380,13,4030,6,6,3.0,1,1,3435
374,726,121,2,2891,10,249,1,1,1.0,2,1,732
375,1107,396,1,5343,3,4116,3,8,2.0,2,2,1059
376,209,179,1,3828,4,4662,8,2,3.0,0,1,3182
377,384,383,2,341,6,748,1,1,1.0,2,1,1213
378,1018,369,1,4113,4,3809,1,1,1.0,2,1,2309
379,1189,169,2,0,5,4950,6,6,3.0,1,1,2751
380,1141,0,2,548,6,5272,5,0,2.0,2,3,3104
381,853,0,1,7397,6,148,5,0,2.0,2,3,1113
382,768,336,2,5432,10,2406,3,8,2.0,2,2,1733
383,613,107,2,3230,5,127,2,7,1.61,1,1,1003
384,854,68,2,6067,6,2778,8,2,3.0,0,1,2445
385,214,353,1,1542,13,1296,6,6,3.0,1,1,569
386,269,360,1,0,3,1622,6,6,3.0,1,1,1048
387,963,352,1,2014,13,5342,0,3,1.61,2,0,448
388,747,0,2,0,13,597,5,0,2.0,2,3,659
389,35,409,0,1055,14,3217,8,2,3.0,0,1,1936
390,642,296,1,7379,5,2957,8,2,3.0,0,1,1918
391,1191,182,1,6847,6,3653,7,5,1.61,1,1,2612
392,1071,381,2,7123,6,1367,8,2,3.0,0,1,724
393,968,0,1,7652,4,5213,4,0,3.0,0,0,809
394,1316,385,1,5556,9,4537,7,5,1.61,1,1,2314
395,815,103,1,6181,6,1255,9,4,2.0,0,1,1357
396,689,335,4,3929,13,5238,9,4,2.0,0,1,2530
397,415,413,2,65,15,3927,8,2,3.0,0,1,2151
398,1193,299,2,267,13,3729,3,8,2.0,2,2,1974
399,1307,270,1,5725,9,599,7,5,1.61,1,1,900
400,1371,0,1,1584,11,549,5,0,2.0,2,3,659
401,1357,300,1,2315,8,1294,7,5,1.61,1,1,406
402,965,334,1,647,1,5256,6,6,3.0,1,1,3368
403,1535,391,1,773,8,4886,8,2,3.0,0,1,2571
404,1003,0,2,2320,13,2280,5,0,2.0,2,3,1750
405,1086,0,1,4402,0,492,4,0,3.0,0,0,18
406,370,126,1,3924,13,4922,9,4,2.0,0,1,3196
407,652,303,2,3374,0,215,8,2,3.0,0,1,636
408,821,368,1,1142,4,2103,1,1,1.0,2,1,1493
409,139,0,1,5620,7,2654,5,0,2.0,2,3,2280
410,906,351,1,1669,0,3204,8,2,3.0,0,1,1238
411,1556,299,1,0,9,5387,0,3,1.61,2,0,653
412,1245,377,1,104,4,3956,3,8,2.0,2,2,2765
413,441,395,1,2122,10,3995,8,2,3.0,0,1,492
414,1283,358,1,7394,9,795,8,2,3.0,0,1,746
415,245,382,0,7648,4,3390,2,7,1.61,1,1,1286
416,363,296,2,763,15,5413,6,6,3.0,1,1,1826
417,1095,0,3,898,1,262,4,0,3.0,0,0,50
418,222,109,1,734,6,4887,7,5,1.61,1,1,757
419,1284,391,1,1614,9,2689,2,7,1.61,1,1,2145
420,823,143,1,2535,5,1668,0,3,1.61,2,0,285
421,203,329,1,2454,5,4195,7,5,1.61,1,1,2314
422,1101,402,2,1171,6,5165,9,4,2.0,0,1,2397
423,165,405,2,0,4,5738,3,8,2.0,2,2,3162
424,1505,390,1,3587,8,4498,9,4,2.0,0,1,3341
425,1211,365,2,4220,6,5174,9,4,2.0,0,1,3166
426,1049,309,1,83,10,4694,3,8,2.0,2,2,2988
427,673,376,1,621,6,4250,3,8,2.0,2,2,2248
428,1071,381,2,7130,6,1336,7,5,1.61,1,1,724
429,1236,206,1,747,4,569,7,5,1.61,1,1,760
430,1085,0,1,7147,0,124,4,0,3.0,0,0,7
431,967,404,2,322,3,4313,8,2,3.0,0,1,3004
432,362,356,2,7341,13,3171,9,4,2.0,0,1,549
433,65,0,1,4176,4,1462,4,0,3.0,0,0,358
434,1089,0,2,7834,10,3395,4,0,3.0,0,0,134
435,80,355,1,940,14,5014,1,1,1.0,2,1,2198
436,1466,295,1,3773,8,4809,8,2,3.0,0,1,1297
437,211,368,2,3622,5,2281,7,5,1.61,1,1,633
438,612,408,2,3325,4,4936,9,4,2.0,0,1,1518
439,198,361,0,4130,15,5106,1,1,1.0,2,1,2486
440,491,337,1,2807,15,4181,8,2,3.0,0,1,1691
441,1122,326,1,1180,6,4201,8,2,3.0,0,1,2405
442,773,410,2,3896,1,1934,7,5,1.61,1,1,580
443,1355,321,1,7462,9,2447,9,4,2.0,0,1,1663
444,530,124,1,1215,5,5837,3,8,2.0,2,2,2390
445,972,297,1,1630,6,1783,6,6,3.0,1,1,1089
446,874,0,2,7101,13,508,4,0,3.0,0,0,21
447,68,256,1,0,4,396,1,1,1.0,2,1,720
448,1511,390,1,681,8,2744,2,7,1.61,1,1,2255
449,1435,0,1,482,9,715,5,0,2.0,2,3,1879
